"","names(dates)","meanages"
"1083","314",1792
"1084","314",1790
"1085","314",1789
"1086","314",1792
"1087","314",1792
"1088","314",1791
"1089","314",1792
"1090","314",1791
"1091","4442",11507
"1092","448",443
"1093","448",659
"1094","2313",5408
"1095","12",1183
"1096","13",5409
"1097","13",1140
"1098","78",1571
"1099","78",1819
"1100","78",2155
"1101","78",844
"1102","108",4872
"1103","123",3324
"1104","287",677
"1105","311",1780
"1106","337",701
"1107","409",997
"1108","409",1015
"1109","430",694
"1110","439",693
"1111","441",1374
"1112","441",780
"1113","441",746
"1114","441",665
"1115","444",768
"1116","444",726
"1117","481",593
"1118","481",599
"1119","487",467
"1120","540",1488
"1121","547",1840
"1122","576",1657
"1123","576",2792
"1124","576",601
"1125","596",2394
"1126","732",757
"1127","802",11542
"1128","835",1192
"1129","866",1243
"1130","917",517
"1131","943",1776
"1132","994",1672
"1133","994",1686
"1134","994",1686
"1135","1001",3540
"1136","1001",4448
"1137","1001",4621
"1138","1034",7105
"1139","1038",9574
"1140","1069",1774
"1141","1069",1830
"1142","1422",1231
"1143","1493",598
"1144","1493",446
"1145","1553",860
"1146","1596",7434
"1147","1597",2222
"1148","1815",2334
"1149","1981",524
"1150","2107",361
"1151","2107",567
"1152","2108",815
"1153","2109",1588
"1154","2116",1446
"1155","2120",3758
"1156","2120",3759
"1157","2149",729
"1158","2226",1368
"1159","2246",1112
"1160","2282",996
"1161","2406",1169
"1162","2406",600
"1163","2593",645
"1164","3145",6106
"1165","3454",1841
"1166","3499",863
"1167","3555",1037
"1168","3582",462
"1169","3629",2557
"1170","3663",760
"1171","3663",310
"1172","3891",517
"1173","3901",456
"1174","4132",1126
"1175","4136",1026
"1176","4165",631
"1177","4176",2925
"1178","4232",481
"1179","4237",6389
"1180","4486",8024
"1181","4510",802
"1182","4515",1261
"1183","48",3858
"1184","1186",775
"1185","3145",9198
"1186","8",611
"1187","8",593
"1188","12",1369
"1189","13",11593
"1190","13",813
"1191","13",792
"1192","20",1325
"1193","27",907
"1194","48",7911
"1195","48",952
"1196","78",3323
"1197","110",859
"1198","164",1752
"1199","164",4160
"1200","164",4254
"1201","164",5156
"1202","164",5727
"1203","164",5156
"1204","164",5499
"1205","164",6371
"1206","164",5338
"1207","164",7455
"1208","166",2339
"1209","185",4922
"1210","210",814
"1211","218",2952
"1212","230",1828
"1213","247",1395
"1214","247",1235
"1215","259",654
"1216","287",677
"1217","287",689
"1218","287",657
"1219","293",383
"1220","304",660
"1221","324",1659
"1222","325",1444
"1223","332",369
"1224","340",4292
"1225","340",2258
"1226","340",2039
"1227","344",1420
"1228","357",5909
"1229","357",5928
"1230","357",6019
"1231","357",5859
"1232","357",5915
"1233","357",6074
"1234","357",6046
"1235","377",1375
"1236","396",717
"1237","409",1117
"1238","428",820
"1239","428",867
"1240","428",849
"1241","430",693
"1242","444",990
"1243","472",1988
"1244","472",2489
"1245","481",699
"1246","481",536
"1247","481",637
"1248","481",622
"1249","488",1841
"1250","488",1126
"1251","488",1265
"1252","522",4326
"1253","527",593
"1254","527",348
"1255","527",598
"1256","527",601
"1257","527",593
"1258","527",627
"1259","527",563
"1260","527",516
"1261","527",607
"1262","527",599
"1263","531",728
"1264","547",1957
"1265","557",1390
"1266","566",12813
"1267","568",5196
"1268","576",8069
"1269","580",1160
"1270","580",770
"1271","583",2939
"1272","628",1064
"1273","628",877
"1274","629",648
"1275","634",1168
"1276","707",990
"1277","707",967
"1278","733",312
"1279","733",412
"1280","733",297
"1281","735",364
"1282","735",407
"1283","735",389
"1284","735",388
"1285","740",2406
"1286","746",8243
"1287","782",4295
"1288","782",2227
"1289","792",1867
"1290","798",10612
"1291","833",2923
"1292","855",538
"1293","943",1773
"1294","986",703
"1295","986",718
"1296","986",766
"1297","986",670
"1298","986",644
"1299","1001",4682
"1300","1019",15052
"1301","1034",1320
"1302","1034",1101
"1303","1034",1627
"1304","1040",1887
"1305","1044",1449
"1306","1044",4067
"1307","1048",2607
"1308","1048",602
"1309","1048",2210
"1310","1060",1270
"1311","1060",635
"1312","1069",7326
"1313","1069",1454
"1314","1069",1576
"1315","1069",1787
"1316","1069",2045
"1317","1132",877
"1318","1135",2385
"1319","1146",1179
"1320","1150",1661
"1321","1209",414
"1322","1217",2938
"1323","1250",3509
"1324","1250",2844
"1325","1250",863
"1326","1251",1127
"1327","1251",1051
"1328","1251",1188
"1329","1251",891
"1330","1384",4145
"1331","1407",792
"1332","1412",1270
"1333","1416",2788
"1334","1417",3282
"1335","1417",2910
"1336","1417",3096
"1337","1418",857
"1338","1424",2408
"1339","1425",4337
"1340","1426",177
"1341","1426",548
"1342","1426",2980
"1343","1431",2712
"1344","1434",392
"1345","1446",722
"1346","1446",439
"1347","1462",1340
"1348","1528",5397
"1349","1550",604
"1350","1551",1193
"1351","1568",694
"1352","1568",1867
"1353","1568",3295
"1354","1568",4154
"1355","1576",3704
"1356","1576",12586
"1357","1677",1046
"1358","1682",1791
"1359","1694",2330
"1360","1706",524
"1361","1706",755
"1362","1917",1137
"1363","1979",375
"1364","2075",13139
"1365","2097",553
"1366","2107",960
"1367","2107",796
"1368","2109",982
"1369","2111",1007
"1370","2111",1605
"1371","2120",709
"1372","2178",12526
"1373","2178",12554
"1374","2178",12607
"1375","2178",12729
"1376","2178",12783
"1377","2178",12814
"1378","2178",12425
"1379","2178",13403
"1380","2178",11206
"1381","2207",694
"1382","2207",1166
"1383","2240",12297
"1384","2243",377
"1385","2243",187
"1386","2243",575
"1387","2243",362
"1388","2243",488
"1389","2267",979
"1390","2267",1213
"1391","2269",858
"1392","2269",765
"1393","2272",12743
"1394","2272",13293
"1395","2273",12708
"1396","2273",19364
"1397","2273",12936
"1398","2288",611
